Element	Ingredients	Price	Vegetarian	Vegan	DAIRY FREE	GLUTEN FREE	SOY FREE	SESAME FREE	GARLIC FREE	ONION FREE	CAPSICUM FREE	CHILI FREE	PISTACHIO FREE	WALNUT FREE	ALMOND FREE	PEANUT FREE	TREE NUT FREE	EGG FREE	FISH FREE	SHELLFISH FREE	MUSTARD FREE	SULFITE FREE	CELERY FREE	LUPIN FREE	MOLLUSC FREE	HALAL	NIGHTSHADE FREE
Pork Belly Bao	Sugar, Yeast, Water, Skim Milk Powder, Baking Powder, Grapeseed Oil, Flour, Cucumber, White Vinegar, Iodised Salt, Rice Vinegar, Spring Onion, Pork Belly, Sugar, Water, Fermented Soybean Paste (Water, Salt, Soybeans, Corn Starch), Salt, Colours (150a, 129), Modified Corn Starch (1422), Rice Vinegar, Sweet Potato Powder, Sesame Paste, Dehydrated Garlic, Spices, Salted Chilli Peppers (Chilli Peppers, Salt), Coriander		NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Fried Chicken Bao	Sugar, Yeast, Water, Skim Milk Powder, Baking Powder, Grapeseed Oil, Flour, Peanuts, Cabbage, Carrots, Sesame Seeds, Coriander, Spring Onion, Daikon, Rice Vinegar, White Vinegar, Iodised Salt, Sugar, Potato Starch, Orange, Lemon, Chicken Thigh, Canola Oil, Egg yolk, Water, Vinegar, Sugar, Salt, Lemon juice concentrate, Natural mustard flavour, Antioxidant (385), Red Chilli, Sugar, Water, Garlic, Salt, Acidity Regulator (Acetic Acid), Preservative (Sodium benzonate, potassium sorbate), Chinese Garlic		NO	NO	NO	NO	YES	NO	NO	NO	YES	NO	YES	YES	YES	NO	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO
Tofu Bao	Sugar, Yeast, Water, Skim Milk Powder, Baking Powder, Grapeseed Oil, Flour, Cabbage, Spring Onion, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Chinese Garlic, Brown Sugar, Rice Vinegar, Wheat Flour, Water, Red Pepper Powder, Salt, Wheat, Garlic, Onion, Koji, Corn Syrup, Defatted Soybean Powder, Rice, Spirit (Barley, Wheat), Flavour Enhancer (621), Ginger Fresh, Sesame Oil, Red Pepper Flakes, Soy Bean, Water, Natural Coagulant (Calcium Sulphate), Black Soybean, Water, Salt, Soy bean, Wheat, Water, Colour (E150c), Canola Oil, Sugar, Preservative 252, Black Pepper, Cornflour		YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Pork Dumplings	Wheat Flour, Water, Salt, Pork Mince, Iodised Salt, White Pepper, Eggs, Sesame Oil, Cornflour, Coriander, Chinese Garlic, Spring Onion, Ginger Fresh, Szechuan Pepper Corn, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Brown Sugar, Rock Sugar, Ginger Fresh, Onion, Star Anise, Bay Leaves, Cinnamon Quills, Whole Cloves, Dried Orange Peel, Fennel Seeds, Canola Oil, Annetto Seeds, Chilli Flakes		NO	NO	YES	NO	NO	NO	NO	NO	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	NO	NO
Mushroom Dumplings	Wheat Flour, Water, Salt, Spring Onion, Sesame Oil, Shiitake Mushrooms, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Ginger Fresh, Cabbage Green, Canola Oil, Chinese Garlic, Szechuan Pepper Corn, Chilli Flakes, Soya Oil, Rapeseed Oil, Chilli, Peanut, Salt, Sugar, Sichuan Pepper, Flavour Enhancer (621), Water, Glutinous Rice, Wheat Bran, Salt, Sugar		YES	YES	YES	NO	NO	NO	NO	NO	YES	NO	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Cream Cheese Wontons	Wheat Flour, Water, Eggs, Cashew, Cream, Milk solids, Salt, Acidity regulator (270), Emulsifiers (450, 452, 451, 339), Thickener (401), Coriander, Spring Onion, Ginger Fresh, Rice Vinegar, Honey, Lime Juice, Chinese Garlic, Canola Oil		YES	NO	NO	NO	YES	YES	NO	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES
Taiwanese Popcorn Chicken	Iodised Salt, Sugar, Orange, Lemon, Chicken Thigh, Coriander, Potato Starch, Canola Oil, Onion Powder, Iodised Salt, Garlic Powder, Chilli Powder, Star Anise, Cloves, Chinese cinnamon, Sichuan pepper, Fennel seeds, Cinnamon Quills, White Pepper, Ground Ginger, Basil, Canola Oil, Egg yolk, Water, Vinegar, Sugar, Salt, Lemon juice concentrate, Natural mustard flavour, Antioxidant (385), Lemon Juice		NO	NO	YES	YES	YES	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	YES	NO
Korean Popcorn Chicken	Orange, Lemon, Iodised Salt, Caster Sugar, Chicken Thigh, Coriander, Potato Starch, Canola Oil, Sesame Seeds White, Sesame Seeds Black, Radish, Water, Salt, Acetic Acid, Citric Acid, Aspartame, Phenylalanine, Potassium Sorbate, Metabusilfite, Tartrazine, Brown Sugar, Ginger Fresh, Sesame Oil, Liquid Smoke, Concentrated Tomatoes, Sugar, Salt, Food Acid (260), Spices, Stabilisers (412, 415), Preservatives (202, 211), Cane Sugar, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Chinese Garlic, Wheat Flour, Water, Red Pepper Powder, Salt, Wheat, Garlic, Onion, Koji, Corn Syrup, Defatted Soybean Powder, Rice, Spirit (Barley, Wheat), Flavour Enhancer (621)		NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	NO	NO
Popcorn Tofu	Potato Starch, Soy Bean, Water, Natural Coagulant (Calcium Sulphate), Soya Oil, Cumin Seeds, Red Pepper Flakes, Galangal, Coconut Cream, Stabilisers (E415, E412), Caster Sugar, Iodised Salt, Lemongrass, Turmeric, Canola Oil, Sesame Seeds White, Sesame Seeds Black, Brown Sugar, Chinese Garlic, Sesame Oil, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Peanuts, Chillies, Sweet Smoked Paprika, Manuka Smoke, Sea Salt, Tamarind, Preservative (Sodium Metabisulphite, Potassium Sorbate)		YES	YES	YES	YES	NO	NO	NO	YES	NO	NO	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	YES	YES	YES	NO	NO
Calamari Toast	Sesame Seeds White, Sesame Seeds Black, Spring Onion, Wheat Flour, Water, Yeast, Iodised Salt, Canola Oil, Soy Flour, Acidity Regulator (263), Emulsifiers (481, 472e), Vegetable Gum (415), Squid, Prawn, Potato Starch, Eggs, Ginger Fresh, White Pepper, Brown Sugar, Cooked Prawn Extract, Water, Rice, Wheat, Salt, Colour (150c), Alcohol, Hydrogenated coconut oil, Soy lecithin, Yuzu Juice, Canola Oil, Egg yolk, Water, Vinegar, Sugar, Salt, Lemon juice concentrate, Natural mustard flavour, Antioxidant (385), Honey, Red Chilli, Green Chilli		NO	NO	YES	NO	NO	NO	YES	NO	YES	NO	YES	YES	YES	YES	YES	NO	YES	NO	NO	YES	YES	YES	NO	NO	NO
Xinjiang Lamb	Lamb Leg, Cumin Seeds, Chilli Powder, Fennel Seeds, Szechuan Peppercorn, Iodised Salt, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Caster Sugar, Canola Oil, Coriander, Red Onion, Rice Vinegar, White Vinegar, Red Pepper Flakes, Lime Juice, Sea Salt, Chinese Garlic, Lemon Juice, Rapeseed Oil, Chilli, Peanut, Salt, Sugar, Sichuan Pepper, Flavour Enhancer (621)		NO	NO	YES	YES	NO	YES	NO	NO	NO	NO	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Miso Yakitori	Soybeans, Salt, Sugar, Corn Starch, Alcohol, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, Water, Soybeans, Rice, Salt, Alcohol, Chicken, Carrots, Celery, Cabbage, Onion, Parsley, Sage extract, Natural antioxidant, Rosemary extract, Salt, Sugar, Glucose, Yeast extract, Brown Sugar, Rice Vinegar, Plum, Ginger Fresh, Chinese Garlic, Spring Onion, Lime, Lime Juice, Green Chilli, Lemongrass, Kaffir Lime Leaves, Orange, Lemon, Chicken Thigh		NO	NO	YES	YES	NO	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	NO
Kung Pao Cauliflower	Annetto Seeds, Rice Vinegar, Water, Rice, Wheat, Salt, Colour (150c), Star anise, Annetto Seeds, Chilli Flakes, Cinnamon Quills, Szechuan Pepper Corn, Canola Oil, Sesame Oil, Sugar, Red Chilli, Garlic, Salt, Thickener (Modified Corn Starch), Acidity Regulator (Acetic Acid), Oyster Extract, Mollusc, Water, Sugar, Salt, Cornstarch, Acetic Acid, Potassium Sorbate, Chilli Peppers, Soybeans, Wheat Flour, Broad Beans, Modified Corn Starch (1422), Chilli Pepper Powder, Dehydrated Garlic, Soybean Oil, Acidity Regulator (270), Flavour Enhancers (631, 627), Cauliflower, Peanuts		NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO
Triple Cooked Potatoes	Potatoes, Soy Bean, Water, Natural Coagulant (Calcium Sulphate), Lime Juice, Canola Oil, Sea Salt, Red Onion, Red Chillies, Galangal, Lemongrass, Coriander Ground, Coriander Fresh, Cumin Ground, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Onion, Ginger Fresh, Chinese Garlic, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, Honey, Black Pepper, Monosodium Glutamate, Sesame Seeds White, Sesame Seeds Black, Coconut Sugar, Dried Coconut, Chilli Flakes, Nori (Seaweed)		YES	NO	YES	YES	NO	NO	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Bok Choy	Bok Choy, Rice Vinegar, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, Red Chilli, Lemon Juice, Canola Oil		YES	YES	YES	YES	NO	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Pork Yakiton	Pork Belly, Spring Onion, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, Brown Sugar, Shiitake Mushrooms, Kombu (Seaweed), Wakame (Seaweed), Sesame Seeds, Sesame Oil		NO	NO	YES	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES
Avocado & Nori Salad	Watercress, Cashew, Iceberg Lettuce, Avocado, Nori (Seaweed), Sesame Seeds Black, Iodised Salt, Rice Vinegar, Sugar Syrup, Water, Sugar, Salt, Vegetable Gum (466), Colour (150c), Preservative (202), Natural Maple Flavour, Food Acid (330), Water, Soybeans, Rice, Salt, Alcohol, Canola Oil		YES	YES	YES	YES	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES
Chilli Caramel Pork Belly	Pork Belly, Star Anise, Cloves, Cinnamon, Sichuan Pepper, Fennel Seeds, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Anchovy (Fish), Red Chilli, Palm Sugar, Sucrose, Potato Starch, Canola Oil, Wong Bok, Green Cabbage, Coriander, Granny Smith Apple, Mint, Lime Juice		NO	NO	YES	YES	NO	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	YES	NO	NO
Yum Pla Dib	Market Fish, Cashew, Coriander, Mint, Kaffir Lime Leaves, Mandarin, Cherry Tomato, Palm Sugar, Sucrose, Anchovy (Fish), Salt, Sugar, Lime Juice, Orange Juice, Chinese garlic, Mango Pulp, Green Chilli		NO	NO	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	NO
Beef Tataki	Beef Striploin, Sea Salt, Black Pepper, Garlic Chives, Iodised Sea Salt, White Sesame Seeds, Soybeans, Salt, Sugar, Corn Starch, Alcohol, Lemon Juice, Mandarin, Kombu (Kelp Seaweed)		NO	NO	YES	YES	NO	NO	NO	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	YES
Chicken Salad	Chicken Thigh, Sugar, Orange, Lemon, Salt, Anchovy (Fish), Coriander, Lime Leaves, Chinese Garlic, Wong Bok, Granny Smith Apple, Fried Shallots, Corn Starch, Vegetable Oil, Coriander, Coconut, Cabbage, Red Onion, Mint, Palm Sugar, Sucrose, Coconut Cream, Stabilisers (E415, E412), Tamarind, Water, Salt, Preservative (Sodium Metabisulphite, Potassium Sorbate), Tomatoes, Cinnamon, Chilli Flakes, Iodised Salt, Chinese Garlic, Star Anise, Fresh Ginger		NO	NO	YES	YES	YES	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	NO	YES	YES	NO	YES	YES	YES	YES	NO
Typhoon Shelter Wok Prawns	Prawn Cutlets, Cornflour, Chinese Garlic, Red Chilli, Spring Onion, Black Soybean, Water, Salt, Soy Sauce (Soy bean, Wheat, Water, Salt, Colour (E150c)), Caster Sugar, Water, Glutinous Rice, Distilled Alcohol, Dextrose, Rice Koji, Aspergillus Oryzae, White Garlic, Vegetable Oil, Salt, Dried Chillies, Iodised Salt, Lemon, Canola Oil		NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES	YES	YES	YES	YES	NO	NO
